cohort_groupings,n_pairs,addRel_min,addRel_max,mtdna,cnu,age_k1_meanFunction,USA_flag_10_k1_meanFunction,USA_flag_10_polychorFunction_rho,USA_flag_10_polychorFunction_se,USA_flag_10_polychorFunction_chisq,USA_flag_10_polychorFunction_df,USA_flag_10_ml_polychorFunction
1819,38,0,0.0002197265625,1,0,66.1578947368421,0.289473684210526,0.178098849774084,0.195234822680011,0.0000079999998661151,0,0.178090771872862
1919,625,0,0.0002197265625,1,0,66.7952,0.3864,0.00747605123406983,0.0457908518962371,0.00000799999952505459,0,0.00746150985418596
1818,2862,0,0.0002197265625,0,0,56.2160877513711,0.223034734917733,0.0216404048024153,0.0267693929801455,0.00000800000088929664,0,0.0216483806935555
1819,165652,0,0.0002197265625,0,0,61.2770105752807,0.287315105333931,-0.0204996165745741,0.00307722746453378,0.00000800006091594696,0,-0.0204997396833393
1919,1087868,0,0.0002197265625,0,0,66.2324542230619,0.35518549340003,-0.00684054139709329,0.00112039644647591,0.00000800006091594696,0,-0.00684746864570366
1818,10,0.0002197265625,0.0002685546875,1,0,65,0.2,-0.933290045113224,5.49902627481106,0.00000840674415769627,0,-0.984577088249386
1819,775,0.0002197265625,0.0002685546875,1,0,63.7696774193548,0.304516129032258,-0.0622609415827662,0.0439368950934728,0.00000800001544121187,0,-0.0622620414863958
1919,2122,0.0002197265625,0.0002685546875,1,0,66.1385485391141,0.357445805843544,-0.0037995813435488,0.0253164477529611,0.00000800000088929664,0,-0.00381745047367545
1818,36168,0.0002197265625,0.0002685546875,0,0,56.973166467797,0.237963759469434,0.00137651781532548,0.00706638558852978,0.00000800000270828605,0,0.00139445976309948
1819,879211,0.0002197265625,0.0002685546875,0,0,61.4191931146634,0.301005835839624,-0.0324143859241594,0.00131085230038111,0.00000800006091594696,0,-0.0324146394855629
1919,3290838,0.0002197265625,0.0002685546875,0,0,65.5854676185751,0.359836997034099,-0.00153671217914713,0.000642030319055246,0.00000800192356109619,0,-0.00152202954735392
1919,36,0.0002685546875,0.000439453125,1,0,61.1805555555556,0.305555555555556,-0.0824535594077577,0.203442654387484,0.00000799999995138023,0,-0.082455329243449
1818,1042,0.0002685546875,0.000439453125,0,0,50.5675805675806,0.202020202020202,-0.129245032722476,0.0451607705647624,0.00000800091129349312,0,-0.129250457521407
1819,63669,0.0002685546875,0.000439453125,0,0,61.9271277975615,0.302635819792625,-0.0173270005942976,0.00486233311198319,0.00000800000270828605,0,-0.0173271003008062
1919,416964,0.0002685546875,0.000439453125,0,0,65.245601833254,0.348864985430082,-0.00386058937418158,0.00181764430097121,0.00000800052657723427,0,-0.00387669414602807
1818,242,0.000439453125,0.000537109375,1,0,61.4338842975207,0.183884297520661,-0.13497889712852,0.0979774240862119,0.00000800008115220408,0,-0.134983641213825
