"cohort","addRel_max","n_pairs_total","z_w","rho_w","age_w","top10_w","se_w","mtdna_w"
"20th",1.1,327830,4.9517187756431,0.9999,64.3328736614089,0.339831806614223,0.00174653639590037,1
"Pre-20th",1.1,535831,4.9517187756431,0.9999,59.7332165180323,0.202590031814946,0.00136611511946994,1
"20th",0.55,580305,0.124141619270926,0.123507804747413,63.6052534015349,0.338737066791035,0.00131272939899477,0.989150532909418
"Pre-20th",0.55,2520353,0.136545037772997,0.135702712319493,60.7095724160673,0.241431975934441,0.000629897796791609,0.713826594925393
"20th",0.275,493935,0.0516289855054967,0.0515831611127921,62.9640440021887,0.326014745656172,0.00142287823810682,0.586160122283296
"Pre-20th",0.275,8052111,0.0382106546380841,0.0381920689511079,59.1804039630777,0.243106467977776,0.000352407615782702,0.412444512997896
"20th",0.1375,3451434,0.0310696347592213,0.031059641215231,64.1190407068943,0.343061307100057,0.000538270514989576,0.252059578714239
"Pre-20th",0.1375,18127495,0.0024767879846966,0.00247678292010796,58.4530573112172,0.241676664595541,0.00023487196156467,0.206948891724974
"20th",0.06875,5553659,0.0168749762397725,0.0168733746223314,63.6703399916874,0.33718497350033,0.000424336734112692,0.120937925789106
"Pre-20th",0.06875,36892638,-0.0152851801921812,-0.0152839899102281,59.0357794725955,0.256043699866524,0.000164638037295513,0.105029247298607
"20th",0.034375,19175756,0.0110634957497609,0.0110630443777737,64.1453216007311,0.342223797715072,0.000228361990834579,0.0573355230427421
"Pre-20th",0.034375,50524112,-0.0186483847072642,-0.0186462232731746,59.373785748534,0.266634726480757,0.000140685934980416,0.0550242624749149
"20th",0.0171875,29857152,0.00616289013147812,0.00616281210797892,64.2557562432862,0.343077673073243,0.000183010435333473,0.0285646802481362
"Pre-20th",0.0171875,54773096,-0.0167507794531524,-0.016749212936317,59.9064993977541,0.278083281546685,0.000135118986469629,0.0306796789431074
