n_pairs,unique_n,addRel_min,addRel_max,addRel_emp_min,addRel_emp_mean,addRel_emp_median,addRel_emp_max,mtdna,cnu,Has_Dementia_phi_both,Has_Dementia_phi_none,Has_Dementia_phi_one,Has_Dementia_phi_est,Has_Dementia_phi_se,Has_Dementia_phi_LL,Has_Dementia_phi_UL,AZ_Broadest_phi_both,AZ_Broadest_phi_none,AZ_Broadest_phi_one,AZ_Broadest_phi_est,AZ_Broadest_phi_se,AZ_Broadest_phi_LL,AZ_Broadest_phi_UL,AZ_Broad_phi_both,AZ_Broad_phi_none,AZ_Broad_phi_one,AZ_Broad_phi_est,AZ_Broad_phi_se,AZ_Broad_phi_LL,AZ_Broad_phi_UL,AZ_MoreForgiving_phi_both,AZ_MoreForgiving_phi_none,AZ_MoreForgiving_phi_one,AZ_MoreForgiving_phi_est,AZ_MoreForgiving_phi_se,AZ_MoreForgiving_phi_LL,AZ_MoreForgiving_phi_UL,AZ_Moststrict_phi_both,AZ_Moststrict_phi_none,AZ_Moststrict_phi_one,AZ_Moststrict_phi_est,AZ_Moststrict_phi_se,AZ_Moststrict_phi_LL,AZ_Moststrict_phi_UL
2787587,179648,0,0.0002197265625,0,0,0,0,1,0,500336,2688474,2386364,-0.296909960377767,0.000310446443407079,-0.297518303607817,-0.296301376044258,500336,2688474,2386364,-0.296909960377767,0.000310446443407079,-0.297518303607817,-0.296301376044258,455060,2797488,2322626,-0.289800777474227,0.000308347970087392,-0.290405012773371,-0.289196311072406,82200,4279692,1213282,-0.157427603157833,0.000268271071372095,-0.157953360118992,-0.156901756937349,16122,4986228,572824,-0.0756691422237081,0.000240945416058236,-0.0761413695540098,-0.0751968809483841
41450,12741,0.00703125,0.00859375,0.0078125,0.0078125,0.0078125,0.0078125,1,0,12968,31568,38364,-0.295960120474414,0.00267847084886088,-0.301200844813308,-0.290701517432999,12968,31568,38364,-0.295960120474414,0.00267847084886088,-0.301200844813308,-0.290701517432999,11984,33148,37768,-0.291699010520463,0.00266979976062785,-0.296922949670595,-0.286457611899538,2346,57878,22676,-0.187743114881805,0.0023671054584605,-0.192378335705064,-0.183099516776337,376,71576,10948,-0.0994606221058696,0.00197857915908639,-0.103337036094531,-0.0955811867921933
3673485,150421,0.00703125,0.00859375,0.0078125,0.0078125,0.0078125,0.0078125,0,0,1168408,2713574,3464988,-0.308637184326741,0.000282990434259185,-0.309191730391032,-0.308082428372053,1168408,2713574,3464988,-0.308637184326741,0.000282990434259185,-0.309191730391032,-0.308082428372053,1069820,2865920,3411230,-0.304692961806183,0.000281849855395664,-0.305245274826003,-0.304140443793286,205156,5127326,2014488,-0.189642079122456,0.000250308737074249,-0.190132627847664,-0.189151435703865,41910,6293748,1011312,-0.0986477501122669,0.000222163335806568,-0.0990831633343636,-0.0982122991151187
162,73,0.00859375,0.0140625,0.01171875,0.01171875,0.01171875,0.01171875,1,0,82,68,174,-0.39869576446281,0.0410437544745844,-0.475958201231704,-0.315326305790338,82,68,174,-0.39869576446281,0.0410437544745844,-0.475958201231704,-0.315326305790338,82,68,174,-0.39869576446281,0.0410437544745844,-0.475958201231704,-0.315326305790338,38,148,138,-0.266608391608392,0.0425619965780471,-0.347864596812084,-0.181376768317584,24,210,90,-0.0894736842105263,0.046338783987617,-0.179309246321474,0.0018416958471328
18210,1546,0.00859375,0.0140625,0.01171875,0.01171875,0.01171875,0.01171875,0,0,5052,14770,16598,-0.295789245214228,0.00400715658069079,-0.303622990953832,-0.28791551185749,5052,14770,16598,-0.295789245214228,0.00400715658069079,-0.303622990953832,-0.28791551185749,4792,15202,16426,-0.293503963259955,0.00399530434635704,-0.301314780673574,-0.285653759664809,896,25916,9608,-0.185164199944892,0.00349884830072156,-0.192012696631747,-0.178297670134721,204,30932,5284,-0.108730351934393,0.00303576195904887,-0.114676371421159,-0.102776541917052
518034,133130,0.0140625,0.0171875,0.015625,0.015625,0.015625,0.015625,1,0,157598,413006,465464,-0.2769164734913,0.000763521007142051,-0.278412274519739,-0.275419329186659,157598,413006,465464,-0.2769164734913,0.000763521007142051,-0.278412274519739,-0.275419329186659,144890,433814,457364,-0.27263329247749,0.000760768070835891,-0.274123714674368,-0.27114156063964,28012,737560,270496,-0.174494267800213,0.000675817148557627,-0.175818528557528,-0.173169375512518,5560,896086,134422,-0.0907230688946551,0.000601217877012716,-0.0919013067212667,-0.0895445770312591
8068065,237065,0.0140625,0.0171875,0.015625,0.015625,0.015625,0.015625,0,0,2447952,6359306,7328872,-0.285033030748176,0.000192654035331066,-0.285410581469733,-0.284655391560439,2447952,6359306,7328872,-0.285033030748176,0.000192654035331066,-0.285410581469733,-0.284655391560439,2247678,6683516,7204936,-0.280987960929627,0.000191896537036635,-0.281364028059447,-0.280611807488655,435038,11466282,4234810,-0.176555440464356,0.000170708793760307,-0.176890003139344,-0.17622083698823,86898,13956274,2092958,-0.0905445065991278,0.000152564801663723,-0.0908435199440042,-0.0902454769285402
15780,5277,0.0171875,0.028125,0.01953125,0.0221393773764259,0.0234375,0.02734375,1,0,5002,11494,15064,-0.31793400176886,0.00429609241789931,-0.326328941723531,-0.30948891206438,5002,11494,15064,-0.31793400176886,0.00429609241789931,-0.326328941723531,-0.30948891206438,4696,11880,14984,-0.319154597442341,0.00427465300871322,-0.327507652505981,-0.310751658126366,880,22146,8534,-0.184683869816903,0.00384148504785279,-0.192202066541056,-0.177143995640616,164,27604,3792,-0.0793237009834643,0.0035839757246702,-0.086344110801675,-0.0722954137043383
186255,32363,0.0171875,0.028125,0.01953125,0.0221265452605299,0.0234375,0.02734375,0,0,61154,138162,173194,-0.295303350950123,0.00126779890427663,-0.297786189096347,-0.292816517776735,61154,138162,173194,-0.295303350950123,0.00126779890427663,-0.297786189096347,-0.292816517776735,56888,144774,170848,-0.291507727410775,0.00126439978445936,-0.293983944430269,-0.289027597380038,11120,257740,103650,-0.189919833193794,0.00112353465141115,-0.192120961814097,-0.187716793742361,2190,318164,52156,-0.100543000297089,0.000986605473223118,-0.102476329313825,-0.0986089116950566
464124,168762,0.028125,0.034375,0.03125,0.03125,0.03125,0.03125,1,0,108674,401620,417954,-0.303606744679092,0.000779120370898513,-0.305133011646922,-0.302078917997691,108674,401620,417954,-0.303606744679092,0.000779120370898513,-0.305133011646922,-0.302078917997691,99616,419662,408970,-0.297679857329063,0.000775171960393441,-0.299198411477291,-0.296159795295384,18206,687514,222528,-0.168897937333989,0.000681000698389902,-0.170232363677663,-0.16756289152904,3420,819136,105692,-0.0829389318868051,0.000603287341438281,-0.0841212360394656,-0.0817563942107413
